,code site,lat,lon
185,FR31005,44.84139,-0.579722
186,FR24013,44.073345,7.225241
187,FR21500,49.18888,-0.35946
188,FR08713,42.6835,2.90351
189,FR19082,48.65306,-2.00268
190,FR10025,50.94989,1.76917
191,FR18019,49.276386,2.482167
192,FR23003,47.322704,-2.039243
193,FR08209,43.9426,4.67958
194,FR07048,46.659046,3.249247
195,FR06009,50.17249,3.23606
196,FR24006,43.580894,7.12222
197,FR04063,48.9964,1.7033
198,FR23092,48.001293,0.20095
199,FR42008,48.007454,6.87752
200,FR07052,44.92008,2.441082
201,FR31036,43.704643,-1.038557
202,FR28028,50.535385,2.635692
203,FR22019,49.220364,6.925833
204,FR24038,44.54865,6.067237
205,FR14042,48.645836,4.966111
206,FR03027,43.3352,5.727365
207,FR15031,44.997,6.4694
208,FR07023,45.51039,2.930361
209,FR21031,48.445553,0.110833
210,FR12056,44.10618,3.072178
211,FR21039,49.63389,-1.6247222
212,FR04004,48.891666,2.346667
213,FR14059,49.88921,4.535761
214,FR33201,45.89528,6.118333
215,FR19051,47.998158,-4.104136
216,FR02034,43.37571,5.064025
217,FR39011,14.614111,-61.05308
218,FR36001,44.870243,4.876289
219,FR24021,43.786583,7.373283
220,FR07016,46.324,2.601
221,FR02043,43.41653,5.222281
222,FR07029,45.274727,3.687917
223,FR28027,50.43464,3.02964
224,FR11027,50.7242,3.15906
225,FR41002,42.697918,9.446417
226,FR09107,45.68695,-0.323869
227,FR03045,43.26022,5.411003
228,FR31021,43.376278,-0.538206
229,FR36002,44.933514,4.893481
230,FR14012,49.224167,4.020556
231,FR04146,48.8175,2.395
232,FR18039,50.129448,1.610833
233,FR24015,43.65777,6.920878
234,FR01015,48.884724,6.051392
235,FR15001,45.4276,5.5178
236,FR01009,49.271393,6.1325
237,FR08618,44.1424,4.13832
238,FR41020,42.700085,9.451722
239,FR04160,48.84889,2.335833
240,FR03091,43.9314,4.826875
241,FR09404,46.584,0.345582
242,FR04066,48.364166,2.236944
243,FR15038,45.1828,5.7531
244,FR33212,46.19364,6.214534
245,FR31017,43.49404,-1.528753
246,FR29426,45.475327,4.515003
247,FR14857,49.89096,4.53977
248,FR26002,47.304665,5.02008
249,FR16516,47.814,7.10456
250,FR31030,44.7225,-0.576111
251,FR29440,45.38958,4.615817
252,FR29424,45.42009,4.395422
253,FR14851,50.13585,4.836361
254,FR23123,48.069298,-0.768129
255,FR16057,47.757435,7.347294
256,FR40012,4.927337,-52.41119
257,FR02029,43.399548,5.113214
258,FR05054,49.481087,0.165289
259,FR09205,46.15372,-1.145611
260,FR14033,48.295002,4.050278
261,FR07059,46.130432,3.425694
262,FR38011,-21.334406,55.45906
263,FR20077,45.990112,4.715566
264,FR12026,43.92777,2.145897
265,FR16065,47.723106,7.341603
266,FR36032,44.9492,4.890133
267,FR30019,48.172653,6.4528165
268,FR23238,47.194157,-1.581689
269,FR19061,48.51351,-2.74953
270,FR02041,43.639004,5.101097
271,FR20031,45.7078,4.8644
272,FR41001,41.924694,8.735694
273,FR30029,48.19361,5.937222
274,FR26010,47.3456,5.002377
275,FR33203,45.9097,6.11825
276,FR16059,47.820248,7.538683
277,FR14203,49.1586,3.912613
278,FR16215,48.588055,7.729722
279,FR09399,46.321976,-0.4664312
280,FR28020,50.483925,2.6613
281,FR11038,50.733334,3.173611
282,FR37041,16.4545,-61.4281
283,FR02008,43.40195,4.981919
284,FR39016,14.678025,-60.939056
285,FR18058,49.61563,1.963259
286,FR27005,45.321846,4.770702
287,FR02005,43.405296,5.051636
288,FR34014,47.917397,1.966258
289,FR32007,46.802376,4.417486
290,FR33302,46.072224,5.820833
291,FR38016,-21.204815,55.58262
292,FR82220,47.5131,6.8318
293,FR34017,47.958973,2.009278
294,FR08003,43.6113,3.86626
295,FR09207,46.309624,-0.991908
296,FR43002,-12.778186,45.220234
297,FR19032,47.7425,-3.39501
298,FR22016,49.104137,6.70375
299,FR30032,48.694725,6.965275
300,FR26014,47.325745,5.041056
301,FR23249,47.32113,-2.127344
302,FR10041,50.74823,2.25978
303,FR02016,43.63864,5.091892
304,FR12046,44.022743,1.411761
305,FR04141,48.85278,2.360556
306,FR15017,45.19049,5.687023
307,FR12054,43.643944,1.468244
308,FR04012,48.827778,2.3275
309,FR02022,43.675114,4.62921
310,FR04185,48.81588,2.9912472
311,FR04149,48.7067,2.4572
312,FR01011,49.119442,6.180833
313,FR16051,47.80596,7.125433
314,FR01022,49.131115,6.207225
315,FR20003,45.7681,4.8503
316,FR08022,43.2875,3.50484
317,FR05090,49.514687,0.100645
318,FR02009,43.39378,4.801024
319,FR10026,50.9578,1.89008
320,FR07038,45.544533,3.248278
321,FR38024,-21.213211,55.302845
322,FR26019,47.800575,3.576189
323,FR05089,49.500187,0.110903
324,FR34018,47.99789,2.7195
325,FR04323,48.62722,2.429167
326,FR31039,43.311092,-0.352116
327,FR03037,43.28334,5.511384
328,FR36025,45.242825,4.672595
329,FR39013,14.675558,-60.94609
330,FR33122,45.53583,6.471111
331,FR22022,49.118343,7.083539
332,FR01001,49.535004,5.804447
333,FR07008,45.78089,3.094583
334,FR31023,43.436455,-0.695041
335,FR25052,49.02021,1.138717
336,FR09204,46.16355,-1.146367
337,FR82040,47.09672,5.496389
338,FR19021,47.75171,-3.37501
339,FR19053,47.986607,-4.097658
